Title,Location,Company,Summary,Search_type,Date,Link,Extraction_date
Data Engineer,Stockholm,Northvolt,Build and optimize big data pipelines for processing large-scale raw data streams from IoT devices.Predict future data-related bottlenecks.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=ab5d3a4c81246eb8&fccid=0284097cdcfc2e52&vjs=3,2020-10-18
Social Media Analyst Trainee,Jobba hemifrån,Whispr Group,"Analyze large sets of data to create and implement insights and strategy for our clients.The products we deliver are based on data, but the insights are…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=fc523a01b834aca8&fccid=4a909d58a303d424&vjs=3,2020-10-18
Data Scientist till Ahlsell,Stockholm,Ahlsell,På vårt huvudkontor i Marievik pågår vår digitaliseringsresa och vi söker nu två Data Scientists till vårt nyskapade Advanced Analytics team.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=0c5b094e268c478f&fccid=22e0f472382b93b7&vjs=3,2020-10-18
"Data Analyst, R&D Validation",Västerås,Northvolt,Contribute to analyzing test data to improve battery properties and/or management system.Investigating problem-solving in terms of data comparison and analysis…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=079c2195957d56d2&fccid=0284097cdcfc2e52&vjs=3,2020-10-18
Software Engineer - Applied Machine Learning team,Stockholm,Nordic Entertainment Group,"As a software engineer, you make the scaffolding around machine learning possible.NENT’s streaming services are increasingly dependent on machine learning to…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=76897f8623c0d6ae&fccid=aa5f0eb9888a49aa&vjs=3,2020-10-18
SEB Group Data Management Office – Data Management Analyst,Stockholm,SEB,"This includes being able to manage data and information in order to improve our business, make use of data in our services to customers as well as govern and…",Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=2054fe8338fa925f&fccid=2eb52353f2b6f939&vjs=3,2020-10-18
Backend Engineer w/ Machine Learning,Stockholm,MatHem,"As a Backend Engineer in our brand new Personalization team, you will develop machine learning to create personalized product recommendations and suggestions…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=222b5fe524a3ac36&fccid=7313fe1cf4f442a0&vjs=3,2020-10-18
Senior Machine Learning Engineer,Stockholm,Peltarion,A complex environment where you will use your previous experience in building custom machine learning projects to build functionality for our general platform.,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=1d3c8a0b4d495531&fccid=68cb0c0bf18b9f4d&vjs=3,2020-10-18
Material Engineer- Simulation,Västerås,Northvolt,Investigation about the correlation between Experimental data and simulation data.Northvolt has an exciting job offer for a Material Engineer- Simulation to…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=47a04bdfb49c5afd&fccid=0284097cdcfc2e52&vjs=3,2020-10-18
Data Engineer GAIA,Stockholm,Ericsson,"Experience building ‘big data’ data pipelines, architectures and data sets.How to keep data secure through multiple data centers?Come, and be where it begins.",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=18110e4ed3963986&fccid=82656d64a9a3e6a7&vjs=3,2020-10-18
Machine Learning / .Net developer to Svea,Solna,Svea,Due to the character of the machine learning field in general and the applications in particular you will have a close dialogue with the business to understand…,Organic,5 dagar sedan,https://se.indeed.com/rc/clk?jk=fb56e740e94b9f67&fccid=ccf3b77c7423aa54&vjs=3,2020-10-18
Data scientist,Stockholm,Xylem,"Using data science as base for creating accurate predictions of products or application conditions.Your primary focus will be using a blend of various tools,…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=c9d15385fb3b4c30&fccid=68ec8a8ee6cf5ac6&vjs=3,2020-10-18
Computer Vision/Deep Learning Engineer,Stockholm,ManoMotion,"Strong knowledge of computer vision/machine learning algorithms.Minimum a year of industry experience in development of solutions for Computer Vision, Machine…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=7cf555de9b1f581e&fccid=f190426b40b36f9c&vjs=3,2020-10-18
Big data and ETL engineer,Stockholm,Bisnode,Develop machine learning models to apply them to large datasets or streaming datasets.University degree in computer science.It's all about the data!,Organic,23 dagar sedan,https://se.indeed.com/rc/clk?jk=a6c6af5dea4493b0&fccid=64e4bd3e10e906a7&vjs=3,2020-10-18
Data Analytics Engineer,Stockholm,Tink,"As a data engineer at Tink, you will:Work with engineers, product managers, and data scientists to understand data needs and implement data exploration tools.",Organic,19 dagar sedan,https://se.indeed.com/rc/clk?jk=bea0f0454b095d00&fccid=8f4ee24ca7337cd7&vjs=3,2020-10-18
BI Data Analyst,Sverige,Bluestorm Recruitment,Experience in Looker or similar visualization software.Worked as a business to consumer (B2C) analyst.Advanced SQL script writing ability accompanied with…,Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=335f82cb67b14091&fccid=8d38cfeea18f7473&vjs=3,2020-10-18
Junior Marketing Analyst,Stockholm,Bitrefill,Email data management and entry.Chatbot data management and entry.Weekly and monthly data entry on campaign performance.It’s a plus if you also have:,Organic,8 dagar sedan,https://se.indeed.com/rc/clk?jk=194b2ddd29fafe08&fccid=89657259c86b6c78&vjs=3,2020-10-18
Data Engineer,Malmö,Sinch,Experience with data warehouse or data science is a plus.Relevant MSc in science or engineering.We are seeking a data engineer to join our Data Team.,Organic,20 dagar sedan,https://se.indeed.com/rc/clk?jk=f021ee2343a518d7&fccid=e309055190d7460e&vjs=3,2020-10-18
Data Analyst,Stockholm,Avalanche Studios,"For this role you need to be able to work full-time in our Stockholm or New York office.Being part of our world is not contingent on where you’re from, your…",Organic,2 dagar sedan,https://se.indeed.com/rc/clk?jk=1003c34e264318e6&fccid=b8ffc2ae19950ea4&vjs=3,2020-10-18
Mechanical Engineer,Sverige,The European Spallation Source,Bachelors or masters degree in engineering.Particular experience with engineering of complex systems or production of them is desired.,Organic,26 dagar sedan,https://se.indeed.com/rc/clk?jk=2d7044528e6b006b&fccid=007f4a268c6df4a4&vjs=3,2020-10-18
2021 MBA Full Time Sweden Opportunity - International Recrui...,Sverige,Johnson & Johnson Family of Companies,"Ability to develop solutions using data-driven insights.Full-time MBA or Master’s degree required.We support Consumer Healthcare, Pharmaceuticals and Medical…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=d9a0c3d40bfcc5b0&fccid=0bed8e17bc113980&vjs=3,2020-10-18
DATA SCIENTIST,Malmö,Sigma IT,"Övergripande kunskap om Hadoop, Spark, IoT samt ramverk inom behandling av data.Sigma IT söker dig som är intresserad av framtida möjligheter och uppdrag inom…",Organic,3 dagar sedan,https://se.indeed.com/rc/clk?jk=209fe900da0224e3&fccid=9ca51fcdd144a45e&vjs=3,2020-10-18
Functional Testing Engineer,Stockholm,Infosys Limited,Bachelor's degree or foreign equivalent required from an accredited institution.Ability to develop test data sets to simulate production application…,Organic,3 dagar sedan,https://se.indeed.com/rc/clk?jk=9a3c49bfb230ef7f&fccid=c67533a523c83a4c&vjs=3,2020-10-18
Senior Data Engineer till en av våra mest strategiska kunder,Göteborg,Sogeti,"Som Data Engineer kommer du bl arbeta med infrastrukturella aktiviteter (lagring, säkerhet, prestanda), design, bygga data pipelines, implementering,…",Organic,Mer än 30 dagar sedan,https://se.indeed.com/rc/clk?jk=3cb834341f6e50e8&fccid=6eb97fc774cb61be&vjs=3,2020-10-18
Data Analyst,Malmö,Ikano Bank AB Sweden,Bachelor or Master in Computer Engineering or Informatics and/or Business Administration or similar.The Data Analyst is responsible for acting as a subject…,Organic,3 dagar sedan,https://se.indeed.com/rc/clk?jk=5e8a5b413b445191&fccid=2086bf08d7edb33a&vjs=3,2020-10-18
